App name,Date,Duration,Check phone count of all Apps,Total screen time of all Apps,App total Usage time,App total Access count,App total Average Screen time,User_Engagement_Level
Amazon Shopping,2019-08-21,1.0,92.0,0 days 06:03:01,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-08-22,8.0,158.0,0 days 05:58:09,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-08-24,7.0,107.0,0 days 04:10:35,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-08-25,7.0,114.0,0 days 04:36:27,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-08-26,6.0,93.0,0 days 05:47:29,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-08-27,7.0,60.0,0 days 04:49:13,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-08-29,1.0,58.0,0 days 03:56:34,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-09-02,11.0,70.0,0 days 07:21:15,11:46:29,526.0,0:1:20,Highly Engaged
Amazon Shopping,2019-09-03,2.0,79.0,0 days 06:04:16,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-09-04,6.0,55.0,0 days 05:16:44,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-09-05,2.0,79.0,0 days 06:33:23,11:46:29,526.0,0:1:20,Highly Engaged
Amazon Shopping,2019-09-09,1.0,81.0,0 days 06:15:44,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-09-15,9.0,68.0,0 days 05:17:22,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-09-17,3.0,81.0,0 days 06:35:45,11:46:29,526.0,0:1:20,Highly Engaged
Amazon Shopping,2019-09-18,1.0,100.0,0 days 04:55:35,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-09-20,2.0,81.0,0 days 04:35:56,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-09-21,3.0,53.0,0 days 07:09:46,11:46:29,526.0,0:1:20,Highly Engaged
Amazon Shopping,2019-09-23,7.0,83.0,0 days 03:43:51,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-09-24,2.0,70.0,0 days 05:24:17,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-09-25,2.0,70.0,0 days 04:47:48,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-09-26,14.0,103.0,0 days 06:03:26,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-09-28,2.0,63.0,0 days 06:04:37,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-09-29,9.0,100.0,0 days 05:24:17,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-09-30,3.0,63.0,0 days 05:12:23,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-10-01,6.0,68.0,0 days 06:18:51,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-10-02,13.0,80.0,0 days 08:09:54,11:46:29,526.0,0:1:20,Highly Engaged
Amazon Shopping,2019-10-03,9.0,77.0,0 days 07:37:37,11:46:29,526.0,0:1:20,Highly Engaged
Amazon Shopping,2019-10-04,4.0,90.0,0 days 04:28:53,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-10-07,6.0,68.0,0 days 05:32:04,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-10-09,2.0,60.0,0 days 06:45:04,11:46:29,526.0,0:1:20,Highly Engaged
Amazon Shopping,2019-10-11,2.0,74.0,0 days 07:11:46,11:46:29,526.0,0:1:20,Highly Engaged
Amazon Shopping,2019-10-12,1.0,59.0,0 days 07:25:16,11:46:29,526.0,0:1:20,Highly Engaged
Amazon Shopping,2019-10-13,1.0,57.0,0 days 06:56:10,11:46:29,526.0,0:1:20,Highly Engaged
Amazon Shopping,2019-10-14,7.0,57.0,0 days 05:32:11,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-10-15,9.0,63.0,0 days 06:03:32,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-10-16,2.0,79.0,0 days 08:01:33,11:46:29,526.0,0:1:20,Highly Engaged
Amazon Shopping,2019-10-17,2.0,84.0,0 days 07:00:45,11:46:29,526.0,0:1:20,Highly Engaged
Amazon Shopping,2019-10-18,8.0,101.0,0 days 02:39:48,11:46:29,526.0,0:1:20,Low Engaged
Amazon Shopping,2019-10-21,13.0,108.0,0 days 04:29:40,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-10-25,3.0,65.0,0 days 06:03:20,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-10-26,12.0,72.0,0 days 05:13:11,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-10-27,4.0,83.0,0 days 04:45:04,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-10-28,3.0,85.0,0 days 03:28:33,11:46:29,526.0,0:1:20,Low Engaged
Amazon Shopping,2019-10-29,14.0,81.0,0 days 05:37:58,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-10-30,5.0,71.0,0 days 04:34:26,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-11-01,1.0,84.0,0 days 05:52:14,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-11-04,2.0,78.0,0 days 05:23:14,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-11-05,2.0,65.0,0 days 06:23:36,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-11-08,10.0,79.0,0 days 06:13:26,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-11-11,2.0,78.0,0 days 05:56:43,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-11-13,3.0,76.0,0 days 05:05:49,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-11-15,3.0,76.0,0 days 03:55:27,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-11-17,2.0,87.0,0 days 03:31:52,11:46:29,526.0,0:1:20,Low Engaged
Amazon Shopping,2019-11-18,1.0,63.0,0 days 04:40:07,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-11-23,5.0,66.0,0 days 05:52:24,11:46:29,526.0,0:1:20,Moderately Engaged
Amazon Shopping,2019-11-24,3.0,68.0,0 days 05:07:07,11:46:29,526.0,0:1:20,Moderately Engaged
Audible,2019-09-28,4.0,63.0,0 days 06:04:37,0:31:41,63.0,0:0:30,Moderately Engaged
Audible,2019-09-29,2.0,100.0,0 days 05:24:17,0:31:41,63.0,0:0:30,Moderately Engaged
Audible,2019-10-04,1.0,90.0,0 days 04:28:53,0:31:41,63.0,0:0:30,Moderately Engaged
Audible,2019-10-07,1.0,68.0,0 days 05:32:04,0:31:41,63.0,0:0:30,Moderately Engaged
Audible,2019-10-15,1.0,63.0,0 days 06:03:32,0:31:41,63.0,0:0:30,Moderately Engaged
Audible,2019-11-17,6.0,87.0,0 days 03:31:52,0:31:41,63.0,0:0:30,Low Engaged
BlaBlaCar,2019-08-09,13.0,79.0,0 days 04:39:07,0:22:53,11.0,0:2:04,Moderately Engaged
BlaBlaCar,2019-08-12,5.0,53.0,0 days 05:26:19,0:22:53,11.0,0:2:04,Moderately Engaged
BlaBlaCar,2019-08-15,2.0,83.0,0 days 06:43:34,0:22:53,11.0,0:2:04,Highly Engaged
BlaBlaCar,2019-08-21,2.0,92.0,0 days 06:03:01,0:22:53,11.0,0:2:04,Moderately Engaged
BookMyShow,2019-06-08,12.0,80.0,0 days 06:10:35,0:17:42,20.0,0:0:53,Moderately Engaged
Calculator,2019-07-03,3.0,74.0,0 days 08:40:21,0:33:31,57.0,0:0:35,Highly Engaged
Calculator,2019-07-06,1.0,96.0,0 days 04:01:14,0:33:31,57.0,0:0:35,Moderately Engaged
Calculator,2019-07-12,1.0,65.0,0 days 04:24:32,0:33:31,57.0,0:0:35,Moderately Engaged
Calculator,2019-09-22,1.0,74.0,0 days 04:54:27,0:33:31,57.0,0:0:35,Moderately Engaged
Calculator,2019-10-21,5.0,108.0,0 days 04:29:40,0:33:31,57.0,0:0:35,Moderately Engaged
Calculator,2019-11-14,3.0,70.0,0 days 05:34:35,0:33:31,57.0,0:0:35,Moderately Engaged
Call of Duty,2019-05-17,5.0,33.0,0 days 02:51:12,85:25:57,545.0,0:9:24,Low Engaged
Call of Duty,2019-05-18,36.0,68.0,0 days 04:37:25,85:25:57,545.0,0:9:24,Moderately Engaged
Call of Duty,2019-05-19,85.0,80.0,0 days 05:27:18,85:25:57,545.0,0:9:24,Moderately Engaged
Call of Duty,2019-05-20,2.0,34.0,0 days 03:17:24,85:25:57,545.0,0:9:24,Low Engaged
Call of Duty,2019-05-22,124.0,78.0,0 days 07:31:39,85:25:57,545.0,0:9:24,Highly Engaged
Call of Duty,2019-05-23,43.0,49.0,0 days 05:56:30,85:25:57,545.0,0:9:24,Moderately Engaged
Call of Duty,2019-05-24,159.0,70.0,0 days 07:44:25,85:25:57,545.0,0:9:24,Highly Engaged
Call of Duty,2019-05-25,52.0,58.0,0 days 03:34:42,85:25:57,545.0,0:9:24,Low Engaged
Call of Duty,2019-05-26,134.0,52.0,0 days 06:55:16,85:25:57,545.0,0:9:24,Highly Engaged
Call of Duty,2019-05-27,132.0,68.0,0 days 06:14:55,85:25:57,545.0,0:9:24,Moderately Engaged
Call of Duty,2019-05-28,94.0,64.0,0 days 05:18:12,85:25:57,545.0,0:9:24,Moderately Engaged
