App name,Date,Duration
Flipkart,2019-09-28,21.0
Flipkart,2019-09-29,15.0
Flipkart,2019-09-30,12.0
Flipkart,2019-10-14,8.0
Flipkart,2019-10-15,3.0
Flipkart,2019-10-17,1.0
Flipkart,2019-11-10,1.0
Flipkart,2019-11-11,6.0
Flipkart,2019-11-12,13.0
Flipkart,2019-11-13,4.0
Flipkart,2019-11-14,5.0
Flipkart,2019-11-15,4.0
Flipkart,2019-11-19,6.0
Flud,2019-06-23,2.0
Flud,2019-07-21,33.0
Flud,2019-07-27,1.0
Flud,2019-08-02,10.0
Galaxy Diagnostics,2019-05-21,6.0
Galaxy Store,2019-06-14,1.0
Galaxy Store,2019-09-06,5.0
Galaxy Store,2019-09-18,3.0
Galaxy Store,2019-09-24,1.0
Galaxy Store,2019-09-28,1.0
Galaxy Store,2019-10-08,1.0
Galaxy Store,2019-10-23,3.0
Galaxy Store,2019-11-12,2.0
Galaxy Store,2019-11-19,3.0
Galaxy Themes,2019-05-17,3.0
Galaxy Themes,2019-10-16,1.0
Gallery,2019-05-17,1.0
Gallery,2019-05-18,3.0
Gallery,2019-05-19,8.0
Gallery,2019-05-21,3.0
Gallery,2019-05-22,2.0
Gallery,2019-05-23,1.0
Gallery,2019-05-26,1.0
Gallery,2019-05-27,4.0
Gallery,2019-05-30,3.0
Gallery,2019-06-01,2.0
Gallery,2019-06-02,1.0
Gallery,2019-06-04,2.0
Gallery,2019-06-05,1.0
Gallery,2019-06-06,6.0
Gallery,2019-06-17,3.0
Gallery,2019-06-26,1.0
Gallery,2019-06-29,1.0
Gallery,2019-06-30,7.0
Gallery,2019-07-01,3.0
Gallery,2019-07-02,2.0
Gallery,2019-07-03,4.0
Gallery,2019-07-04,3.0
Gallery,2019-07-06,7.0
Gallery,2019-07-07,8.0
Gallery,2019-07-08,8.0
Gallery,2019-07-09,1.0
Gallery,2019-07-14,8.0
Gallery,2019-07-16,4.0
Gallery,2019-07-19,2.0
Gallery,2019-07-20,1.0
